,textDisplay,normalized_text,texttokens,Stemming,polarity_score,polarity
1139,lah terus facebook gimana instagram gimana banyak medsos lainnya yang berjualan juga di lini mereka,lah terus facebook bagaimana instagram bagaimana banyak medsos lainnya yang berjualan juga di lini mereka,"['lah', 'terus', 'facebook', 'bagaimana', 'instagram', 'bagaimana', 'banyak', 'medsos', 'lainnya', 'yang', 'berjualan', 'juga', 'di', 'lini', 'mereka']",lah terus facebook bagaimana instagram bagaimana banyak medsos lain yang jual juga di lini mereka,-1,negatif
1140,pemerintah apa tidak bisa bikin pasar online pemerintah aneh,pemerintah apa tidak bisa bikin pasar online pemerintah aneh,"['pemerintah', 'apa', 'tidak', 'bisa', 'bikin', 'pasar', 'online', 'pemerintah', 'aneh']",perintah apa tidak bisa bikin pasar online perintah aneh,-4,negatif
1141,yang untung anda tapi algoritma memihak pedagang cina biar untung kan uang kita keluar keluar negeri,yang untung anda tapi algoritma memihak pedagang cina biar untung kan uang kita keluar keluar negeri,"['yang', 'untung', 'anda', 'tapi', 'algoritma', 'memihak', 'pedagang', 'cina', 'biar', 'untung', 'kan', 'uang', 'kita', 'keluar', 'keluar', 'negeri']",yang untung anda tapi algoritma pihak dagang cina biar untung kan uang kita keluar keluar negeri,-8,negatif
1142,pantas uni eropa melarang tiktok masuk ke negara nya ternyata eropa tau arah ke mana tiktok ini sebenar nya,pantas uni eropa melarang tiktok masuk ke negara nya ternyata eropa tau arah ke mana tiktok ini sebenar nya,"['pantas', 'uni', 'eropa', 'melarang', 'tiktok', 'masuk', 'ke', 'negara', 'nya', 'ternyata', 'eropa', 'tau', 'arah', 'ke', 'mana', 'tiktok', 'ini', 'sebenar', 'nya']",pantas uni eropa larang tiktok masuk ke negara nya nyata eropa tau arah ke mana tiktok ini benar nya,-2,negatif
1143,mangkanya hp sekarang canggih hp sudah punya smartphone semua tinggal pakailah jualan online emang masyarakat mau bodoh terus gitu sama negara lain pikir pikir sekarang hp sudah canggih gunakan untuk jualan kalau tidak bisa jualan online belajarlah sama teman dan sodara yang bisa hidup itu jangan payah,mangkanya hp sekarang canggih hp sudah punya smartphone semua tinggal pakailah jualan online memang masyarakat mau bodoh terus begitu sama negara lain pikir pikir sekarang hp sudah canggih gunakan untuk jualan kalau tidak bisa jualan online belajarlah sama teman dan sodara yang bisa hidup itu jangan payah,"['mangkanya', 'hp', 'sekarang', 'canggih', 'hp', 'sudah', 'punya', 'smartphone', 'semua', 'tinggal', 'pakailah', 'jualan', 'online', 'memang', 'masyarakat', 'mau', 'bodoh', 'terus', 'begitu', 'sama', 'negara', 'lain', 'pikir', 'pikir', 'sekarang', 'hp', 'sudah', 'canggih', 'gunakan', 'untuk', 'jualan', 'kalau', 'tidak', 'bisa', 'jualan', 'online', 'belajarlah', 'sama', 'teman', 'dan', 'sodara', 'yang', 'bisa', 'hidup', 'itu', 'jangan', 'payah']",mangkanya hp sekarang canggih hp sudah punya smartphone semua tinggal pakai jual online memang masyarakat mau bodoh terus begitu sama negara lain pikir pikir sekarang hp sudah canggih guna untuk jual kalau tidak bisa jual online bajar sama teman dan sodara yang bisa hidup itu jangan payah,11,positif
1144,lah yang di tutup tiktok doang tetapi lazada shopee kalian masih jalan kan,lah yang di tutup tiktok doang tetapi lazada shopee kalian masih jalan kan,"['lah', 'yang', 'di', 'tutup', 'tiktok', 'doang', 'tetapi', 'lazada', 'shopee', 'kalian', 'masih', 'jalan', 'kan']",lah yang di tutup tiktok doang tetapi lazada shopee kalian masih jalan kan,-6,negatif
1145,saya tidak mau jadi orang munafik kalau saya juga butuh tiktokshop orang menengah kebawah juga pengeng harga lebih terjangkau popok yang biasa harga saya beli di tiktokshop cuma rb bayangin rbu betapa berharganya buat saya yang gajinya minggu,saya tidak mau jadi orang munafik kalau saya juga butuh tiktokshop orang menengah kebawah juga pengeng harga lebih terjangkau popok yang biasa harga saya beli di tiktokshop cuma ribu bayangkan rbu betapa berharganya buat saya yang gajinya minggu,"['saya', 'tidak', 'mau', 'jadi', 'orang', 'munafik', 'kalau', 'saya', 'juga', 'butuh', 'tiktokshop', 'orang', 'menengah', 'kebawah', 'juga', 'pengeng', 'harga', 'lebih', 'terjangkau', 'popok', 'yang', 'biasa', 'harga', 'saya', 'beli', 'di', 'tiktokshop', 'cuma', 'ribu', 'bayangkan', 'rbu', 'betapa', 'berharganya', 'buat', 'saya', 'yang', 'gajinya', 'minggu']",saya tidak mau jadi orang munafik kalau saya juga butuh tiktokshop orang tengah bawah juga pengeng harga lebih jangkau popok yang biasa harga saya beli di tiktokshop cuma ribu bayang rbu betapa harga buat saya yang gaji minggu,-7,negatif
1146,coba bbm kamu kasi turun aman tentram dan damai bukan hapus ini itu,coba bbm kamu kasih turun aman tentram dan damai bukan hapus ini itu,"['coba', 'bbm', 'kamu', 'kasih', 'turun', 'aman', 'tentram', 'dan', 'damai', 'bukan', 'hapus', 'ini', 'itu']",coba bbm kamu kasih turun aman tentram dan damai bukan hapus ini itu,-3,negatif
1147,gara² pedagang offline ini,gara² pedagang offline ini,"['gara²', 'pedagang', 'offline', 'ini']",gara dagang offline ini,-4,negatif
1148,saya pedagang offline di mall jujur saya merasa ada harapan baru untuk saya berjualan lagi karena berapa tahun terakir banyak rekan sesama pedagang di mall yang gulung tikar di karena kan sepi pengunjung sekali nya ada pengunjung mereka hanya nongkrong dan jalan cuci mata bukan untuk belanja tiap bulan kami di bebankan sewa tempat dan gaji buat spg mudah an semua nya bisa berjalan lancar untuk semua pedagang,saya pedagang offline di mall jujur saya merasa ada harapan baru untuk saya berjualan lagi karena berapa tahun terakir banyak rekan sesama pedagang di mall yang gulung tikar di karena kan sepi pengunjung sekali nya ada pengunjung mereka hanya nongkrong dan jalan cuci mata bukan untuk belanja tiap bulan kami di bebankan sewa tempat dan gaji buat spg mudah an semua nya bisa berjalan lancar untuk semua pedagang,"['saya', 'pedagang', 'offline', 'di', 'mall', 'jujur', 'saya', 'merasa', 'ada', 'harapan', 'baru', 'untuk', 'saya', 'berjualan', 'lagi', 'karena', 'berapa', 'tahun', 'terakir', 'banyak', 'rekan', 'sesama', 'pedagang', 'di', 'mall', 'yang', 'gulung', 'tikar', 'di', 'karena', 'kan', 'sepi', 'pengunjung', 'sekali', 'nya', 'ada', 'pengunjung', 'mereka', 'hanya', 'nongkrong', 'dan', 'jalan', 'cuci', 'mata', 'bukan', 'untuk', 'belanja', 'tiap', 'bulan', 'kami', 'di', 'bebankan', 'sewa', 'tempat', 'dan', 'gaji', 'buat', 'spg', 'mudah', 'an', 'semua', 'nya', 'bisa', 'berjalan', 'lancar', 'untuk', 'semua', 'pedagang']",saya dagang offline di mall jujur saya rasa ada harap baru untuk saya jual lagi karena berapa tahun terakir banyak rekan sama dagang di mall yang gulung tikar di karena kan sepi unjung sekali nya ada unjung mereka hanya nongkrong dan jalan cuci mata bukan untuk belanja tiap bulan kami di beban sewa tempat dan gaji buat spg mudah an semua nya bisa jalan lancar untuk semua dagang,-12,negatif
1149,kasian juga toko yang jual di pasar pada tidak laku mau makan apa juga mereka,kasihan juga toko yang jual di pasar pada tidak laku mau makan apa juga mereka,"['kasihan', 'juga', 'toko', 'yang', 'jual', 'di', 'pasar', 'pada', 'tidak', 'laku', 'mau', 'makan', 'apa', 'juga', 'mereka']",kasihan juga toko yang jual di pasar pada tidak laku mau makan apa juga mereka,-5,negatif
1150,allhmdulillah tiktok di larang harga nya tidak masuk di akal tiktok masa indomie dus cuma kan aneh,allhmdulillah tiktok di larang harga nya tidak masuk di akal tiktok masa indomie dus cuma kan aneh,"['allhmdulillah', 'tiktok', 'di', 'larang', 'harga', 'nya', 'tidak', 'masuk', 'di', 'akal', 'tiktok', 'masa', 'indomie', 'dus', 'cuma', 'kan', 'aneh']",allhmdulillah tiktok di larang harga nya tidak masuk di akal tiktok masa indomie dus cuma kan aneh,-7,negatif
1151,kalau niat bisnis sewa saja kios dipasar biar semua berdampak positif termasuk transportasi jadi rame lagi karena banyak yang kepasar,kalau niat bisnis sewa saja kios dipasar biar semua berdampak positif termasuk transportasi jadi rame lagi karena banyak yang kepasar,"['kalau', 'niat', 'bisnis', 'sewa', 'saja', 'kios', 'dipasar', 'biar', 'semua', 'berdampak', 'positif', 'termasuk', 'transportasi', 'jadi', 'rame', 'lagi', 'karena', 'banyak', 'yang', 'kepasar']",kalau niat bisnis sewa saja kios pasar biar semua dampak positif masuk transportasi jadi rame lagi karena banyak yang pasar,-10,negatif
1152,saya dukung pemerintahan,saya dukung pemerintahan,"['saya', 'dukung', 'pemerintahan']",saya dukung perintah,1,positif
1153,intinya apa yang kita beli itu yang kita dukung,intinya apa yang kita beli itu yang kita dukung,"['intinya', 'apa', 'yang', 'kita', 'beli', 'itu', 'yang', 'kita', 'dukung']",inti apa yang kita beli itu yang kita dukung,-9,negatif
1154,bos uang banyak ajum bodoh,bos uang banyak ajum bodoh,"['bos', 'uang', 'banyak', 'ajum', 'bodoh']",bos uang banyak ajum bodoh,6,positif
1155,sayang banyak padahal yang terbantu di tiktokshop,sayang banyak padahal yang terbantu di tiktokshop,"['sayang', 'banyak', 'padahal', 'yang', 'terbantu', 'di', 'tiktokshop']",sayang banyak padahal yang bantu di tiktokshop,4,positif
1156,tiktok nya juga sekalian ditutup,tiktok nya juga sekalian ditutup,"['tiktok', 'nya', 'juga', 'sekalian', 'ditutup']",tiktok nya juga sekali tutup,-3,negatif
1157,lebih baik yang di tutup itu yang melarangnya,lebih baik yang di tutup itu yang melarangnya,"['lebih', 'baik', 'yang', 'di', 'tutup', 'itu', 'yang', 'melarangnya']",lebih baik yang di tutup itu yang larang,-13,negatif
1159,terus kalau masih ada jual harus ada hukuman apa tidak pak,terus kalau masih ada jual harus ada hukuman apa tidak pak,"['terus', 'kalau', 'masih', 'ada', 'jual', 'harus', 'ada', 'hukuman', 'apa', 'tidak', 'pak']",terus kalau masih ada jual harus ada hukum apa tidak pak,-2,negatif
1160,hongkong sudah lama hei di tutup tetapi aman aja,hongkong sudah lama hei di tutup tetapi aman saja,"['hongkong', 'sudah', 'lama', 'hei', 'di', 'tutup', 'tetapi', 'aman', 'saja']",hongkong sudah lama hei di tutup tetapi aman saja,-6,negatif
1161,alhamdulilah kenapa baru sekarang sih pemerintah bertindak kerja kalian ngapain aja pemerintah semoga tanah abang cipulir dan lainya pedagang offline segera bangkit lagi amin,alhamdulilah kenapa baru sekarang sih pemerintah bertindak kerja kalian mengapai saja pemerintah semoga tanah abang cipulir dan lainya pedagang offline segera bangkit lagi amin,"['alhamdulilah', 'kenapa', 'baru', 'sekarang', 'sih', 'pemerintah', 'bertindak', 'kerja', 'kalian', 'mengapai', 'saja', 'pemerintah', 'semoga', 'tanah', 'abang', 'cipulir', 'dan', 'lainya', 'pedagang', 'offline', 'segera', 'bangkit', 'lagi', 'amin']",alhamdulilah kenapa baru sekarang sih perintah tindak kerja kalian kapai saja perintah moga tanah abang cipulir dan lai dagang offline segera bangkit lagi amin,8,positif
1162,ya benar kenapa baru sekarang di tindak lanjuti,ya benar kenapa baru sekarang di tindak lanjuti,"['ya', 'benar', 'kenapa', 'baru', 'sekarang', 'di', 'tindak', 'lanjuti']",ya benar kenapa baru sekarang di tindak lanjut,8,positif
1163,saya sangat mendukung umkm kecil sejahtera,saya sangat mendukung umkm kecil sejahtera,"['saya', 'sangat', 'mendukung', 'umkm', 'kecil', 'sejahtera']",saya sangat dukung umkm kecil sejahtera,1,positif
1164,tutup juta menyelamatkan jt,tutup juta menyelamatkan juta,"['tutup', 'juta', 'menyelamatkan', 'juta']",tutup juta selamat juta,7,positif
1166,melarang hukum alam karena jaman selalu berputar yang jualan di tiktok mayoritas umkm dengan tiktok orang modal paspasan bisa memperbaiki ekonomi intinya pengusa pasar tidak mau turun tahta,melarang hukum alam karena jaman selalu berputar yang jualan di tiktok mayoritas umkm dengan tiktok orang modal paspasan bisa memperbaiki ekonomi intinya pengusa pasar tidak mau turun tahta,"['melarang', 'hukum', 'alam', 'karena', 'jaman', 'selalu', 'berputar', 'yang', 'jualan', 'di', 'tiktok', 'mayoritas', 'umkm', 'dengan', 'tiktok', 'orang', 'modal', 'paspasan', 'bisa', 'memperbaiki', 'ekonomi', 'intinya', 'pengusa', 'pasar', 'tidak', 'mau', 'turun', 'tahta']",larang hukum alam karena jaman selalu putar yang jual di tiktok mayoritas umkm dengan tiktok orang modal paspasan bisa baik ekonomi inti kusa pasar tidak mau turun tahta,2,positif
1167,yang pro sama penutupan tiktok hanya para umkm tua yang gaptek dan ber sdm rendah,yang pro sama penutupan tiktok hanya para umkm tua yang gaptek dan ber sdm rendah,"['yang', 'pro', 'sama', 'penutupan', 'tiktok', 'hanya', 'para', 'umkm', 'tua', 'yang', 'gaptek', 'dan', 'ber', 'sdm', 'rendah']",yang pro sama tutup tiktok hanya para umkm tua yang gaptek dan ber sdm rendah,-19,negatif
1170,nah gitu namanya pemerintah berguna untuk rakyat,nah begitu namanya pemerintah berguna untuk rakyat,"['nah', 'begitu', 'namanya', 'pemerintah', 'berguna', 'untuk', 'rakyat']",nah begitu nama perintah guna untuk rakyat,1,positif
1171,ribet amat ya tiktok tinggal bikin aplikasi tiktokshop,ribet amat ya tiktok tinggal bikin aplikasi tiktokshop,"['ribet', 'amat', 'ya', 'tiktok', 'tinggal', 'bikin', 'aplikasi', 'tiktokshop']",ribet amat ya tiktok tinggal bikin aplikasi tiktokshop,1,positif
1172,setuju dengan pemerintah stabilitas ekonomi nasional harus menjadi prioritas,setuju dengan pemerintah stabilitas ekonomi nasional harus menjadi prioritas,"['setuju', 'dengan', 'pemerintah', 'stabilitas', 'ekonomi', 'nasional', 'harus', 'menjadi', 'prioritas']",tuju dengan perintah stabilitas ekonomi nasional harus jadi prioritas,3,positif
1173,kalau tiktok di tutup masib bisa di shopee yang jadi masalah itu emang produk² impor itu lo,kalau tiktok di tutup masib bisa di shopee yang jadi masalah itu memang produk² impor itu lo,"['kalau', 'tiktok', 'di', 'tutup', 'masib', 'bisa', 'di', 'shopee', 'yang', 'jadi', 'masalah', 'itu', 'memang', 'produk²', 'impor', 'itu', 'lo']",kalau tiktok di tutup masib bisa di shopee yang jadi masalah itu memang produk impor itu lo,-8,negatif
1175,ini mentri tidak tau apa yang di bicarakan taunya joget doang,ini mentri tidak tau apa yang di bicarakan taunya joget doang,"['ini', 'mentri', 'tidak', 'tau', 'apa', 'yang', 'di', 'bicarakan', 'taunya', 'joget', 'doang']",ini tri tidak tau apa yang di bicara tau joget doang,-20,negatif
1176,ya tidak bisa minta spil nomor etalase dong,ya tidak bisa meminta spil nomor etalase dong,"['ya', 'tidak', 'bisa', 'meminta', 'spil', 'nomor', 'etalase', 'dong']",ya tidak bisa minta spil nomor etalase dong,1,positif
1177,stop juga barang cina serius bang itu merusak barang lokal,stop juga barang cina serius bang itu merusak barang lokal,"['stop', 'juga', 'barang', 'cina', 'serius', 'bang', 'itu', 'merusak', 'barang', 'lokal']",stop juga barang cina serius bang itu rusak barang lokal,-1,negatif
1178,mantap pak kasihan pasar pak sepi,mantap pak kasihan pasar pak sepi,"['mantap', 'pak', 'kasihan', 'pasar', 'pak', 'sepi']",mantap pak kasihan pasar pak sepi,6,positif
1179,kenapa bingung ada allah yang maha kaya,kenapa bingung ada allah yang maha kayak,"['kenapa', 'bingung', 'ada', 'allah', 'yang', 'maha', 'kayak']",kenapa bingung ada allah yang maha kayak,5,positif
1180,para warganet pilihlah prabowo dan pan dalam pilpres semoga indonesia bersih dari tiktok,para warganet pilihlah prabowo dan kapan dalam pilpres semoga indonesia bersih dari tiktok,"['para', 'warganet', 'pilihlah', 'prabowo', 'dan', 'kapan', 'dalam', 'pilpres', 'semoga', 'indonesia', 'bersih', 'dari', 'tiktok']",para warganet pilih prabowo dan kapan dalam pilpres moga indonesia bersih dari tiktok,1,positif
1181,menurutku win win solutionnya tiktokshop tetap dibuka tapi harus barang produk indo karena kita sebagai konsumen dan pedagang sangat terbantu dengan adanya tiktokshop,menurutku win win solutionnya tiktokshop tetap dibuka tapi harus barang produk indonesia karena kita sebagai konsumen dan pedagang sangat terbantu dengan adanya tiktokshop,"['menurutku', 'win', 'win', 'solutionnya', 'tiktokshop', 'tetap', 'dibuka', 'tapi', 'harus', 'barang', 'produk', 'indonesia', 'karena', 'kita', 'sebagai', 'konsumen', 'dan', 'pedagang', 'sangat', 'terbantu', 'dengan', 'adanya', 'tiktokshop']",turut win win solutionnya tiktokshop tetap buka tapi harus barang produk indonesia karena kita bagai konsumen dan dagang sangat bantu dengan ada tiktokshop,8,positif
1182,saya tinggal dijakarta disini banyak orang dari tiongkok bawa barang dari negara mereka untuk bombardir produk lokal karena dibuat imitasinya dengan bahan sedikit lebih berkualitas secara tidak langsung mereka platform tiktok ngeliat pasar indo produk lokal yang laris langsung cepat dibuat imitasinya yang jual juga bos orang mereka yang tinggal dan pindah kesini banyak ruko bisnis tiktok tertutup padahal transaksinya ratusan juta karyawannya cm biji dengan gaji kecil bagian packing,saya tinggal dijakarta disini banyak orang dari tiongkok bawa barang dari negara mereka untuk bombardir produk lokal karena dibuat imitasinya dengan bahan sedikit lebih berkualitas secara tidak langsung mereka platform tiktok melihat pasar indonesia produk lokal yang laris langsung cepat dibuat imitasinya yang jual juga bos orang mereka yang tinggal dan pindah kesini banyak ruko bisnis tiktok tertutup padahal transaksinya ratusan juta karyawannya cuma biji dengan gaji kecil bagian packing,"['saya', 'tinggal', 'dijakarta', 'disini', 'banyak', 'orang', 'dari', 'tiongkok', 'bawa', 'barang', 'dari', 'negara', 'mereka', 'untuk', 'bombardir', 'produk', 'lokal', 'karena', 'dibuat', 'imitasinya', 'dengan', 'bahan', 'sedikit', 'lebih', 'berkualitas', 'secara', 'tidak', 'langsung', 'mereka', 'platform', 'tiktok', 'melihat', 'pasar', 'indonesia', 'produk', 'lokal', 'yang', 'laris', 'langsung', 'cepat', 'dibuat', 'imitasinya', 'yang', 'jual', 'juga', 'bos', 'orang', 'mereka', 'yang', 'tinggal', 'dan', 'pindah', 'kesini', 'banyak', 'ruko', 'bisnis', 'tiktok', 'tertutup', 'padahal', 'transaksinya', 'ratusan', 'juta', 'karyawannya', 'cuma', 'biji', 'dengan', 'gaji', 'kecil', 'bagian', 'packing']",saya tinggal dijakarta sini banyak orang dari tiongkok bawa barang dari negara mereka untuk bombardir produk lokal karena buat imitasi dengan bahan sedikit lebih kualitas cara tidak langsung mereka platform tiktok lihat pasar indonesia produk lokal yang laris langsung cepat buat imitasi yang jual juga bos orang mereka yang tinggal dan pindah kesini banyak ruko bisnis tiktok tutup padahal transaksi ratus juta karyawannya cuma biji dengan gaji kecil bagi packing,9,positif
1183,sangat setuju seandainya tiktok di tutup lah,sangat setuju seandainya tiktok di tutup lah,"['sangat', 'setuju', 'seandainya', 'tiktok', 'di', 'tutup', 'lah']",sangat tuju anda tiktok di tutup lah,3,positif
1184,saya sebagai konsumen sebenarnya sangat terbantu dengan adanya shop online,saya sebagai konsumen sebenarnya sangat terbantu dengan adanya shop online,"['saya', 'sebagai', 'konsumen', 'sebenarnya', 'sangat', 'terbantu', 'dengan', 'adanya', 'shop', 'online']",saya bagai konsumen benar sangat bantu dengan ada shop online,9,positif
1185,padahal ada shopee dll bisa juga kok live emang dasar mau aja di perbudak china iya sekarang kamu dapet duit setelah produk yang kamu jual di jiplak dan dijual kembali dengan harga murah sudah banyak penjual tiktok yang ngeluh kaya gitu terlebih lagi skincare,padahal ada shopee dll bisa juga kok live memang dasar mau saja di perbudak china iya sekarang kamu dapat duit setelah produk yang kamu jual di jiplak dan dijual kembali dengan harga murah sudah banyak penjual tiktok yang ngeluh kayak begitu terlebih lagi skincare,"['padahal', 'ada', 'shopee', 'dll', 'bisa', 'juga', 'kok', 'live', 'memang', 'dasar', 'mau', 'saja', 'di', 'perbudak', 'china', 'iya', 'sekarang', 'kamu', 'dapat', 'duit', 'setelah', 'produk', 'yang', 'kamu', 'jual', 'di', 'jiplak', 'dan', 'dijual', 'kembali', 'dengan', 'harga', 'murah', 'sudah', 'banyak', 'penjual', 'tiktok', 'yang', 'ngeluh', 'kayak', 'begitu', 'terlebih', 'lagi', 'skincare']",padahal ada shopee dll bisa juga kok live memang dasar mau saja di budak china iya sekarang kamu dapat duit telah produk yang kamu jual di jiplak dan jual kembali dengan harga murah sudah banyak jual tiktok yang ngeluh kayak begitu lebih lagi skincare,15,positif
1186,kami maunya belanja di tikitok murah banget kenapa sekarang apa tidak boleh,kami maunya belanja di tikitok murah banget kenapa sekarang apa tidak boleh,"['kami', 'maunya', 'belanja', 'di', 'tikitok', 'murah', 'banget', 'kenapa', 'sekarang', 'apa', 'tidak', 'boleh']",kami mau belanja di tikitok murah banget kenapa sekarang apa tidak boleh,5,positif
1187,seperti tv jadul banget astaga mau kek gini amat,seperti tv jadul banget astaga mau kayak begini amat,"['seperti', 'tv', 'jadul', 'banget', 'astaga', 'mau', 'kayak', 'begini', 'amat']",seperti tv jadul banget astaga mau kayak begini amat,5,positif
1188,shopee kok tidak di tutup juga,shopee kok tidak di tutup juga,"['shopee', 'kok', 'tidak', 'di', 'tutup', 'juga']",shopee kok tidak di tutup juga,-7,negatif
1189,kesel banget,kesel banget,"['kesel', 'banget']",kesel banget,-4,negatif
1190,masuk akhirnya produk dalam negeri bisa laku kaya batik anyaman dari bambu alat dapur tradisional bisa laku kasihan sama saudara kita yang membuat kerajian rumah tangga setuju sekali karena produk dalam negeri insyaallah bisa laku lagi,masuk akhirnya produk dalam negeri bisa laku kayak batik anyaman dari bambu alat dapur tradisional bisa laku kasihan sama saudara kita yang membuat kerajian rumah tangga setuju sekali karena produk dalam negeri insyaallah bisa laku lagi,"['masuk', 'akhirnya', 'produk', 'dalam', 'negeri', 'bisa', 'laku', 'kayak', 'batik', 'anyaman', 'dari', 'bambu', 'alat', 'dapur', 'tradisional', 'bisa', 'laku', 'kasihan', 'sama', 'saudara', 'kita', 'yang', 'membuat', 'kerajian', 'rumah', 'tangga', 'setuju', 'sekali', 'karena', 'produk', 'dalam', 'negeri', 'insyaallah', 'bisa', 'laku', 'lagi']",masuk akhir produk dalam negeri bisa laku kayak batik anyam dari bambu alat dapur tradisional bisa laku kasihan sama saudara kita yang buat kerajian rumah tangga tuju sekali karena produk dalam negeri insyaallah bisa laku lagi,-1,negatif
1191,jelas izinya aja beda minta terus beroperasi merugikan negara,jelas izinya saja beda meminta terus beroperasi merugikan negara,"['jelas', 'izinya', 'saja', 'beda', 'meminta', 'terus', 'beroperasi', 'merugikan', 'negara']",jelas izinya saja beda minta terus operasi rugi negara,-6,negatif
1192,tetapi kalian juga tidak tau rasa nya jadi orang kurang kreatif di media online betapa susah nya cari duit,tetapi kalian juga tidak tau rasa nya jadi orang kurang kreatif di media online betapa susah nya cari duit,"['tetapi', 'kalian', 'juga', 'tidak', 'tau', 'rasa', 'nya', 'jadi', 'orang', 'kurang', 'kreatif', 'di', 'media', 'online', 'betapa', 'susah', 'nya', 'cari', 'duit']",tetapi kalian juga tidak tau rasa nya jadi orang kurang kreatif di media online betapa susah nya cari duit,-11,negatif
1193,mudah mudahan dengan di tutupnya tiktok jualan usaha online sellerku rame lagi aamiin,mudah mudahan dengan di tutupnya tiktok jualan usaha online sellerku rame lagi amin,"['mudah', 'mudahan', 'dengan', 'di', 'tutupnya', 'tiktok', 'jualan', 'usaha', 'online', 'sellerku', 'rame', 'lagi', 'amin']",mudah mudah dengan di tutup tiktok jual usaha online sellerku rame lagi amin,10,positif
1194,pemerintah tutup tiktok tidak apa apa tapi bikinin dong ganti nya yang seperti itu biar warganya bisa jualan online dengan enak seperti di tiktok,pemerintah tutup tiktok tidak apa apa tapi membikin dong ganti nya yang seperti itu biar warganya bisa jualan online dengan enak seperti di tiktok,"['pemerintah', 'tutup', 'tiktok', 'tidak', 'apa', 'apa', 'tapi', 'membikin', 'dong', 'ganti', 'nya', 'yang', 'seperti', 'itu', 'biar', 'warganya', 'bisa', 'jualan', 'online', 'dengan', 'enak', 'seperti', 'di', 'tiktok']",perintah tutup tiktok tidak apa apa tapi bikin dong ganti nya yang seperti itu biar warga bisa jual online dengan enak seperti di tiktok,-12,negatif
1195,youtube dikuasai artis tiktok juga artis shopee artis juga,youtube dikuasai artis tiktok juga artis shopee artis juga,"['youtube', 'dikuasai', 'artis', 'tiktok', 'juga', 'artis', 'shopee', 'artis', 'juga']",youtube asai artis tiktok juga artis shopee artis juga,6,positif
1196,semoga tiktok nya juga di hapus karena toxic fake dompamine high,semoga tiktok nya juga di hapus karena toxic fake dompamine high,"['semoga', 'tiktok', 'nya', 'juga', 'di', 'hapus', 'karena', 'toxic', 'fake', 'dompamine', 'high']",moga tiktok nya juga di hapus karena toxic fake dompamine high,-5,negatif
1198,mau di apa in juga tetap sepi mau mall apalah tanah abang pasti sepi rakyat dah susah apa mahal ongkos mahal harga barang nya juga mahal udah waktu kebuang mana cape,mau di apa ini juga tetap sepi mau mall apalah tanah abang pasti sepi rakyat deh susah apa mahal ongkos mahal harga barang nya juga mahal sudah waktu kebuang mana capek,"['mau', 'di', 'apa', 'ini', 'juga', 'tetap', 'sepi', 'mau', 'mall', 'apalah', 'tanah', 'abang', 'pasti', 'sepi', 'rakyat', 'deh', 'susah', 'apa', 'mahal', 'ongkos', 'mahal', 'harga', 'barang', 'nya', 'juga', 'mahal', 'sudah', 'waktu', 'kebuang', 'mana', 'capek']",mau di apa ini juga tetap sepi mau mall apa tanah abang pasti sepi rakyat deh susah apa mahal ongkos mahal harga barang nya juga mahal sudah waktu buang mana capek,8,positif
1199,hanya karena satu daerah pasar sepi tetapi buat indonesia terkena dampak lebih banyak yang dagang online harusnya cari solusi lain bukan merugikan para pedagang online karna tanah abang sepi buat jutaan orang kehilangan mata pencarian,hanya karena satu daerah pasar sepi tetapi buat indonesia terkena dampak lebih banyak yang dagang online harusnya cari solusi lain bukan merugikan para pedagang online karena tanah abang sepi buat jutaan orang kehilangan mata pencarian,"['hanya', 'karena', 'satu', 'daerah', 'pasar', 'sepi', 'tetapi', 'buat', 'indonesia', 'terkena', 'dampak', 'lebih', 'banyak', 'yang', 'dagang', 'online', 'harusnya', 'cari', 'solusi', 'lain', 'bukan', 'merugikan', 'para', 'pedagang', 'online', 'karena', 'tanah', 'abang', 'sepi', 'buat', 'jutaan', 'orang', 'kehilangan', 'mata', 'pencarian']",hanya karena satu daerah pasar sepi tetapi buat indonesia kena dampak lebih banyak yang dagang online harus cari solusi lain bukan rugi para dagang online karena tanah abang sepi buat juta orang hilang mata cari,-32,negatif
1200,ada ada aja,ada ada saja,"['ada', 'ada', 'saja']",ada ada saja,5,positif
1201,berantas judi online bukan nya kemudahan msyarakat di berantas,berantas judi online bukan nya kemudahan msyarakat di berantas,"['berantas', 'judi', 'online', 'bukan', 'nya', 'kemudahan', 'msyarakat', 'di', 'berantas']",berantas judi online bukan nya mudah msyarakat di berantas,1,positif
1203,mana suara pendukung pdi,mana suara pendukung pdi,"['mana', 'suara', 'pendukung', 'pdi']",mana suara dukung pdi,6,positif
1204,ribed banget yang ada itu dipermudah biar ekonomi cepat maju,ribed banget yang ada itu dipermudah biar ekonomi cepat maju,"['ribed', 'banget', 'yang', 'ada', 'itu', 'dipermudah', 'biar', 'ekonomi', 'cepat', 'maju']",ribed banget yang ada itu mudah biar ekonomi cepat maju,6,positif
1205,kenapa tidak sekalian aplikasi tiktok nya juga ggung,kenapa tidak sekalian aplikasi tiktok nya juga ggung,"['kenapa', 'tidak', 'sekalian', 'aplikasi', 'tiktok', 'nya', 'juga', 'ggung']",kenapa tidak sekali aplikasi tiktok nya juga ggung,-10,negatif
